size(byte),latency(ns)
0.00049,1.258
0.00098,1.258
0.00195,1.258
0.00293,1.258
0.00391,1.258
0.00586,1.258
0.00781,1.258
0.00977,1.258
0.01172,1.258
0.01367,1.258
0.01562,1.258
0.01758,1.258
0.01953,1.258
0.02148,1.258
0.02344,1.258
0.02539,1.258
0.02734,1.258
0.02930,1.258
0.03125,1.258
0.03516,1.258
0.03906,1.776
0.04297,2.181
0.04688,1.683
0.05078,1.657
0.05469,2.364
0.05859,1.944
0.06250,2.394
0.07031,2.268
0.07812,2.419
0.08594,2.538
0.09375,2.456
0.10156,2.640
0.10938,2.739
0.11719,2.799
0.12500,2.867
0.14062,2.962
0.15625,3.074
0.17188,3.137
0.18750,3.211
0.20312,4.339
0.21875,4.377
0.23438,4.396
0.25000,4.441
0.28125,4.477
0.31250,4.509
0.34375,4.542
0.37500,4.572
0.40625,4.591
0.43750,4.617
0.46875,4.626
0.50000,4.647
0.56250,4.664
0.62500,4.689
0.68750,4.705
0.75000,4.719
0.81250,4.726
0.87500,4.732
0.93750,4.839
1.00000,4.882
1.12500,4.822
1.25000,4.812
1.37500,4.819
1.50000,4.884
1.62500,4.891
1.75000,4.938
1.87500,4.976
2.00000,5.018
2.25000,5.082
2.50000,5.166
2.75000,5.229
3.00000,5.394
3.25000,5.917
3.50000,5.595
3.75000,5.688
4.00000,5.710
4.50000,5.805
5.00000,6.076
5.50000,6.986
6.00000,7.591
6.50000,7.894
7.00000,8.747
7.50000,8.605
8.00000,8.948
9.00000,9.345
10.00000,9.706
11.00000,9.853
12.00000,10.301
13.00000,10.594
14.00000,11.024
15.00000,11.167
16.00000,11.425
18.00000,12.712
20.00000,13.962
22.00000,15.190
24.00000,16.278
26.00000,17.161
28.00000,18.244
30.00000,23.872
32.00000,31.196
36.00000,42.914
40.00000,53.964
44.00000,64.231
48.00000,74.329
52.00000,82.853
56.00000,84.281
60.00000,87.082
64.00000,97.163
72.00000,100.481
80.00000,102.433
88.00000,104.431
96.00000,105.757
104.00000,117.034
112.00000,116.946
120.00000,117.661
128.00000,118.644
144.00000,118.875
160.00000,117.739
176.00000,118.777
192.00000,119.203
208.00000,120.618
224.00000,120.888
240.00000,120.763
256.00000,120.134
288.00000,120.835
320.00000,121.236
352.00000,120.212
384.00000,121.230
416.00000,121.074
448.00000,120.290
480.00000,120.699
512.00000,120.630
576.00000,119.624
640.00000,119.171
704.00000,119.821
768.00000,119.022
832.00000,119.831
896.00000,119.678
960.00000,118.840
1024.00000,119.642

